,remain_iter,pie_delta,loglik_delta,alpha_l2norm_delta,loglik,alpha_sum
259,1741,0.0,0.52372,4.53461,-2317200.747127,48754.73759
260,1740,0.0,0.526048,4.511969,-2317201.273176,48824.228292
261,1739,0.0,0.528319,4.489478,-2317201.801494,48893.373228
262,1738,0.0,0.530532,4.467135,-2317202.332027,48962.174678
263,1737,0.0,0.532691,4.44494,-2317202.864717,49030.634902
264,1736,0.0,0.534794,4.422892,-2317203.399511,49098.75614
265,1735,0.0,0.536844,4.400988,-2317203.936356,49166.540609
266,1734,0.0,0.538843,4.379227,-2317204.475198,49233.990507
267,1733,0.0,0.54079,4.357608,-2317205.015988,49301.108013
268,1732,0.0,0.542686,4.33613,-2317205.558674,49367.895284
269,1731,0.0,0.544534,4.314792,-2317206.103209,49434.354458
270,1730,0.0,0.546334,4.293592,-2317206.649543,49500.487656
271,1729,0.0,0.548087,4.272529,-2317207.19763,49566.296976
272,1728,0.0,0.549794,4.251602,-2317207.747424,49631.784499
273,1727,0.0,0.551456,4.230809,-2317208.298879,49696.952289
274,1726,0.0,0.553073,4.210149,-2317208.851952,49761.802389
275,1725,0.0,0.554647,4.189622,-2317209.4066,49826.336825
276,1724,0.0,0.556179,4.169225,-2317209.962779,49890.557604
277,1723,0.0,0.557669,4.148958,-2317210.520448,49954.466717
278,1722,0.0,0.559119,4.12882,-2317211.079567,50018.066136
279,1721,0.0,0.560529,4.10881,-2317211.640096,50081.357816
280,1720,0.0,0.561899,4.088925,-2317212.201995,50144.343695
281,1719,0.0,0.563232,4.069166,-2317212.765227,50207.025695
282,1718,0.0,0.564527,4.049532,-2317213.329754,50269.405719
283,1717,0.0,0.565785,4.03002,-2317213.895539,50331.485655
284,1716,0.0,0.567007,4.01063,-2317214.462546,50393.267376
285,1715,0.0,0.568194,3.991361,-2317215.030741,50454.752735
286,1714,0.0,0.569347,3.972213,-2317215.600087,50515.943574
287,1713,0.0,0.570466,3.953183,-2317216.170553,50576.841714
288,1712,0.0,0.571551,3.934271,-2317216.742104,50637.448965
289,1711,0.0,0.572604,3.915475,-2317217.314708,50697.767119
290,1710,0.0,0.573625,3.896796,-2317217.888333,50757.797953
291,1709,0.0,0.574615,3.878231,-2317218.462948,50817.54323
292,1708,0.0,0.575575,3.859781,-2317219.038523,50877.004698
293,1707,0.0,0.576504,3.841443,-2317219.615027,50936.184088
294,1706,0.0,0.577404,3.823218,-2317220.192431,50995.08312
295,1705,0.0,0.578275,3.805103,-2317220.770706,51053.703497
296,1704,0.0,0.579118,3.787099,-2317221.349825,51112.046909
297,1703,0.0,0.579934,3.769203,-2317221.929758,51170.115032
298,1702,0.0,0.580722,3.751416,-2317222.510481,51227.909527
299,1701,0.0,0.581484,3.733737,-2317223.091964,51285.432042
300,1700,0.0,0.58222,3.716164,-2317223.674184,51342.684213
301,1699,0.0,0.58293,3.698696,-2317224.257114,51399.667659
302,1698,0.0,0.583615,3.681334,-2317224.840729,51456.383989
303,1697,0.0,0.584276,3.664075,-2317225.425005,51512.834797
304,1696,0.0,0.584913,3.646919,-2317226.009918,51569.021665
