,Homo-naive,Homo-activated
Gpr137,0.40961593276006275,0.2683471671780067
Bad,0.8192318655201255,0.6012975919374708
Plcb3,0.20480796638003138,0.09738716519774064
Ppp1r14b,11.109419287754262,23.22778488716297
Fkbp2,1.2288477982801884,1.7708923495226743
Vegfb,2.0480796638003134,0.3577962229040089
Dnajc4,1.2288477982801884,0.7948155728255079
Nudt22,0.20480796638003138,0.3577962229040089
Trpt1,0.20480796638003138,1e-323
Fermt3,8.75534395162123,4.724401516580065
Stip1,2.20182651808656,8.77971034840572
Macrod1,0.8192318655201255,0.5226741225951009
AC109619.1,1e-323,1e-323
Flrt1,1e-323,1e-323
Otub1,1.472813124585776,3.356539237595417
Cox8a,38.79821766854216,32.68805814500846
Naa40,1.2288477982801884,1.450986100270006
Rcor2,1e-323,0.17889811145200446
Mark2,7.8859142862651,2.4961897970826024
Gm17227,1e-323,0.08944905572600223
Spindoc,1e-323,0.3107610851480315
Gm50232,1e-323,0.044724527863001115
1700105P06Rik,0.20480796638003138,1e-323
2700081O15Rik,1e-323,0.31307169504100785
Rtn3,3.1789054923723064,4.5957867093486025
Atl3,2.457695596560377,2.233779242960079
Plaat3,2.1216681140022278,1.809038978419033
Lgals12,1e-323,1e-323
Plaat5,1e-323,1e-323
Slc22a27,1e-323,1e-323
Gm41804,1e-323,1e-323
9830166K06Rik,1e-323,1e-323
Chrm1,1e-323,1e-323
Slc3a2,4.146669680827616,14.845288214171257
Snhg1,13.941513878072666,18.13467130970463
Wdr74,2.6001766325017757,4.858875453052804
1700092M07Rik,1e-323,0.044724527863001115
Stx5a,2.3348648397253773,1.2326405219083514
Nxf1,2.0480796638003134,1.8307517773653608
Tmem223,2.9689112347411166,1.7001628097522026
Tmem179b,4.141630633934133,1.6070002723527286
Taf6l,0.6144238991400942,0.760316973671019
Polr2g,4.909078498771795,7.070428927224186
Zbtb3,0.20480796638003138,0.08944905572600223
Ttc9c,1.638463731040251,0.707944606165474
Hnrnpul2,7.383565307615839,5.257011976784255
Gng3,1e-323,0.044724527863001115
Bscl2,1.843271697420282,0.9826353194439229
Lrrn4cl,0.20480796638003138,1e-323
Ubxn1,13.154810591884445,7.680362395759185
Uqcc3,7.54295790325866,3.184315966395314
Lbhd1,0.6144238991400942,0.13417358358900333
1810009A15Rik,1e-323,0.4293913604186644
Ints5,0.40961593276006275,0.9324659900498788
Ganab,3.276927462080502,1.8671565140992514
B3gat3,1.0240398319001567,1.0322081469943818
Rom1,1e-323,0.08944905572600223
Eml3,0.6144238991400942,0.33554503494506677
Gm10353,1e-323,0.2236226393150056
Mta2,2.3348648397253777,3.648391441555357
Tut1,0.40961593276006275,0.6708679179450165
Eef1g,39.3978895754249,63.23053835552237
Ahnak,1e-323,0.24099306643764368
Asrgl1,1.638463731040251,0.7540456190550954
Gm9750,1e-323,1e-323
Gm50322,1e-323,0.044724527863001115
Incenp,0.40961593276006275,0.28508659716735624
Gm50340,0.20480796638003138,0.13417358358900333
Gm36913,1e-323,1e-323
Fth1,106.68280227261228,37.74894829339536
Best1,1e-323,1e-323
Fads3,1e-323,1e-323
Fads2,1e-323,1e-323
Fads1,1e-323,0.3321825822066328
Gm10143,1e-323,1e-323
