,remain_iter,pie_delta,loglik_delta,alpha_l2norm_delta,loglik,alpha_sum
235,1765,0.0,5.346646,0.577747,-10474762.828872,47328.406736
236,1764,0.0,5.35009,0.567079,-10474768.178961,47339.234277
237,1763,0.0,5.353437,0.55661,-10474773.532399,47349.861988
238,1762,0.0,5.356692,0.546335,-10474778.889091,47360.293581
239,1761,0.0,5.359858,0.536251,-10474784.248949,47370.532699
240,1760,0.0,5.362936,0.526354,-10474789.611885,47380.582916
241,1759,0.0,5.36593,0.516642,-10474794.977815,47390.447737
242,1758,0.0,5.368842,0.507109,-10474800.346657,47400.130604
243,1757,0.0,5.371675,0.497754,-10474805.718333,47409.634893
244,1756,0.0,5.374432,0.488573,-10474811.092765,47418.963917
245,1755,0.0,5.377114,0.479561,-10474816.469879,47428.120927
246,1754,0.0,5.379724,0.470717,-10474821.849603,47437.109111
247,1753,0.0,5.382264,0.462037,-10474827.231867,47445.931601
248,1752,0.0,5.384736,0.453518,-10474832.616603,47454.591467
249,1751,0.0,5.387143,0.445157,-10474838.003745,47463.091722
250,1750,0.0,5.389485,0.436951,-10474843.393231,47471.435325
251,1749,0.0,5.391766,0.428897,-10474848.784997,47479.625177
252,1748,0.0,5.393987,0.420992,-10474854.178984,47487.664125
253,1747,0.0,5.39615,0.413234,-10474859.575134,47495.554965
254,1746,0.0,5.398256,0.40562,-10474864.97339,47503.300437
255,1745,0.0,5.400307,0.398146,-10474870.373697,47510.903234
256,1744,0.0,5.402306,0.390811,-10474875.776003,47518.365995
257,1743,0.0,5.404252,0.383611,-10474881.180255,47525.691311
258,1742,0.0,5.406148,0.376545,-10474886.586403,47532.881726
259,1741,0.0,5.407996,0.36961,-10474891.994399,47539.939735
260,1740,0.0,5.409796,0.362803,-10474897.404196,47546.867786
261,1739,0.0,5.411551,0.356122,-10474902.815747,47553.668283
262,1738,0.0,5.413261,0.349564,-10474908.229008,47560.343585
263,1737,0.0,5.154053,0.343128,-10474913.383061,47566.896005
264,1736,0.0,0.098195,0.336811,-10474913.284866,47573.327814
265,1735,0.0,0.096105,0.33061,-10474913.18876,47579.641243
266,1734,0.0,0.094065,0.324524,-10474913.094695,47585.838477
267,1733,0.0,0.092073,0.318551,-10474913.002622,47591.921664
268,1732,0.0,0.090127,0.312688,-10474912.912495,47597.892911
269,1731,0.0,0.088226,0.306934,-10474912.824269,47603.754285
270,1730,0.0,0.086369,0.301285,-10474912.737899,47609.507815
271,1729,0.0,0.084556,0.295741,-10474912.653344,47615.155492
272,1728,0.0,0.082784,0.2903,-10474912.57056,47620.69927
273,1727,0.0,0.081052,0.284958,-10474912.489508,47626.141069
274,1726,0.0,0.079361,0.279716,-10474912.410147,47631.482769
275,1725,0.0,0.077708,0.27457,-10474912.332439,47636.726218
276,1724,0.0,0.076092,0.26952,-10474912.256347,47641.87323
277,1723,0.0,0.074513,0.264562,-10474912.181833,47646.925584
278,1722,0.0,0.072971,0.259696,-10474912.108863,47651.885025
279,1721,0.0,0.071462,0.25492,-10474912.0374,47656.753268
280,1720,0.0,0.069988,0.250232,-10474911.967412,47661.531995
281,1719,0.0,0.068547,0.24563,-10474911.898865,47666.222857
282,1718,0.0,0.067138,0.241113,-10474911.831727,47670.827474
283,1717,0.0,0.065761,0.23668,-10474911.765967,47675.347436
284,1716,0.0,0.064414,0.232328,-10474911.701553,47679.784305
285,1715,0.0,0.063097,0.228057,-10474911.638456,47684.139611
286,1714,0.0,0.061809,0.223864,-10474911.576647,47688.414858
287,1713,0.0,0.06055,0.219749,-10474911.516098,47692.611522
288,1712,0.0,0.059318,0.215709,-10474911.456779,47696.731051
289,1711,0.0,0.058114,0.211744,-10474911.398666,47700.774866
290,1710,0.0,0.056935,0.207852,-10474911.34173,47704.744362
291,1709,0.0,0.055783,0.204032,-10474911.285947,47708.64091
